[DEBUG] [2024-09-07 17:21:38,514]: RAW message sent: bytearray(b'$M<\x00\x01\x01')
[WARNING] [2024-09-07 17:25:05,864]: Error opening the serial port (/dev/ttyS0): [Errno 16] could not open port /dev/ttyS0: [Errno 16] Device or resource busy: '/dev/ttyS0'
[WARNING] [2024-09-07 17:25:06,365]: Serial port (/dev/ttyS0) not ready/available
[DEBUG] [2024-09-08 09:20:58,224]: RAW message sent: bytearray(b'$M<\x00\x01\x01')
[WARNING] [2024-09-08 09:21:08,235]: Timeout occured when receiving a message
[DEBUG] [2024-09-08 09:21:09,237]: IndexError detected on state: 0
[DEBUG] [2024-09-08 09:21:09,237]: Error detected on state: -1
[DEBUG] [2024-09-08 09:21:09,238]: Nothing was received - Code 0
[DEBUG] [2024-09-08 09:21:09,239]: RAW message sent: bytearray(b'$M<\x00\x02\x02')
[WARNING] [2024-09-08 09:21:19,250]: Timeout occured when receiving a message
[DEBUG] [2024-09-08 09:21:20,252]: IndexError detected on state: 0
[DEBUG] [2024-09-08 09:21:20,253]: Error detected on state: -1
[DEBUG] [2024-09-08 09:21:20,253]: Nothing was received - Code 0
[DEBUG] [2024-09-08 09:21:20,254]: RAW message sent: bytearray(b'$M<\x00\x03\x03')
[WARNING] [2024-09-08 09:21:30,266]: Timeout occured when receiving a message
[DEBUG] [2024-09-08 09:21:31,268]: IndexError detected on state: 0
[DEBUG] [2024-09-08 09:21:31,269]: Error detected on state: -1
[DEBUG] [2024-09-08 09:21:31,269]: Nothing was received - Code 0
[DEBUG] [2024-09-08 09:21:31,270]: RAW message sent: bytearray(b'$M<\x00\x05\x05')
[WARNING] [2024-09-08 09:21:41,283]: Timeout occured when receiving a message
[DEBUG] [2024-09-08 09:21:42,285]: IndexError detected on state: 0
[DEBUG] [2024-09-08 09:21:42,285]: Error detected on state: -1
[DEBUG] [2024-09-08 09:21:42,285]: Nothing was received - Code 0
[DEBUG] [2024-09-08 09:21:42,286]: RAW message sent: bytearray(b'$M<\x00\x04\x04')
[WARNING] [2024-09-08 09:21:52,298]: Timeout occured when receiving a message
[DEBUG] [2024-09-08 09:21:53,299]: IndexError detected on state: 0
[DEBUG] [2024-09-08 09:21:53,300]: Error detected on state: -1
[DEBUG] [2024-09-08 09:21:53,300]: Nothing was received - Code 0
[DEBUG] [2024-09-08 09:21:53,301]: RAW message sent: bytearray(b'$M<\x00\xa0\xa0')
[WARNING] [2024-09-08 09:22:03,314]: Timeout occured when receiving a message
[DEBUG] [2024-09-08 09:22:04,315]: IndexError detected on state: 0
[DEBUG] [2024-09-08 09:22:04,316]: Error detected on state: -1
[DEBUG] [2024-09-08 09:22:04,316]: Nothing was received - Code 0
[DEBUG] [2024-09-08 09:22:04,317]: RAW message sent: bytearray(b'$M<\x00\xf0\xf0')
[WARNING] [2024-09-08 09:22:14,328]: Timeout occured when receiving a message
[DEBUG] [2024-09-08 09:22:15,329]: IndexError detected on state: 0
[DEBUG] [2024-09-08 09:22:15,330]: Error detected on state: -1
[DEBUG] [2024-09-08 09:22:15,330]: Nothing was received - Code 0
[DEBUG] [2024-09-08 09:22:15,331]: RAW message sent: bytearray(b'$M<\x00\n\n')
[WARNING] [2024-09-08 09:22:25,342]: Timeout occured when receiving a message
[DEBUG] [2024-09-08 09:22:26,344]: IndexError detected on state: 0
[DEBUG] [2024-09-08 09:22:26,345]: Error detected on state: -1
[DEBUG] [2024-09-08 09:22:26,345]: Nothing was received - Code 0
[DEBUG] [2024-09-08 09:22:26,346]: RAW message sent: bytearray(b'$M<\x00ee')
[DEBUG] [2024-09-08 09:24:54,550]: RAW message sent: bytearray(b'$M<\x00\x01\x01')
[DEBUG] [2024-09-08 09:32:19,586]: RAW message sent: bytearray(b'$M<\x00\x01\x01')
[DEBUG] [2024-09-08 09:32:19,591]: State: 0 - byte received (at 1725751939.591459): 36
[DEBUG] [2024-09-08 09:32:19,591]: State: 1 - byte received (at 1725751939.591459): 77
[DEBUG] [2024-09-08 09:32:19,592]: State: 2 - byte received (at 1725751939.591459): 62
[DEBUG] [2024-09-08 09:32:19,592]: State: 3 - byte received (at 1725751939.591459): 3
[DEBUG] [2024-09-08 09:32:19,592]: State: 4 - byte received (at 1725751939.591459): 1
[DEBUG] [2024-09-08 09:32:19,593]: State: 7 - byte received (at 1725751939.591459): 0
[DEBUG] [2024-09-08 09:32:19,593]: State: 8 - byte received (at 1725751939.591459): 1
[DEBUG] [2024-09-08 09:32:19,593]: State: 8 - byte received (at 1725751939.591459): 42
[DEBUG] [2024-09-08 09:32:19,594]: State: 9 - byte received (at 1725751939.591459): 41
[DEBUG] [2024-09-08 09:32:19,594]: Message received (length 3) - Code 1
[DEBUG] [2024-09-08 09:32:19,594]: RAW message sent: bytearray(b'$M<\x00\x02\x02')
[DEBUG] [2024-09-08 09:32:19,607]: State: 0 - byte received (at 1725751939.6074617): 36
[DEBUG] [2024-09-08 09:32:19,607]: State: 1 - byte received (at 1725751939.6074617): 77
[DEBUG] [2024-09-08 09:32:19,608]: State: 2 - byte received (at 1725751939.6074617): 62
[DEBUG] [2024-09-08 09:32:19,608]: State: 3 - byte received (at 1725751939.6074617): 4
[DEBUG] [2024-09-08 09:32:19,608]: State: 4 - byte received (at 1725751939.6074617): 2
[DEBUG] [2024-09-08 09:32:19,609]: State: 7 - byte received (at 1725751939.6074617): 66
[DEBUG] [2024-09-08 09:32:19,609]: State: 8 - byte received (at 1725751939.6074617): 84
[DEBUG] [2024-09-08 09:32:19,609]: State: 8 - byte received (at 1725751939.6074617): 70
[DEBUG] [2024-09-08 09:32:19,609]: State: 8 - byte received (at 1725751939.6074617): 76
[DEBUG] [2024-09-08 09:32:19,610]: State: 9 - byte received (at 1725751939.6074617): 26
[DEBUG] [2024-09-08 09:32:19,610]: Message received (length 4) - Code 2
[DEBUG] [2024-09-08 09:32:19,611]: RAW message sent: bytearray(b'$M<\x00\x03\x03')
[DEBUG] [2024-09-08 09:32:19,623]: State: 0 - byte received (at 1725751939.6234376): 36
[DEBUG] [2024-09-08 09:32:19,623]: State: 1 - byte received (at 1725751939.6234376): 77
[DEBUG] [2024-09-08 09:32:19,624]: State: 2 - byte received (at 1725751939.6234376): 62
[DEBUG] [2024-09-08 09:32:19,624]: State: 3 - byte received (at 1725751939.6234376): 3
[DEBUG] [2024-09-08 09:32:19,624]: State: 4 - byte received (at 1725751939.6234376): 3
[DEBUG] [2024-09-08 09:32:19,625]: State: 7 - byte received (at 1725751939.6234376): 4
[DEBUG] [2024-09-08 09:32:19,625]: State: 8 - byte received (at 1725751939.6234376): 1
[DEBUG] [2024-09-08 09:32:19,625]: State: 8 - byte received (at 1725751939.6234376): 1
[DEBUG] [2024-09-08 09:32:19,626]: State: 9 - byte received (at 1725751939.6234376): 4
[DEBUG] [2024-09-08 09:32:19,626]: Message received (length 3) - Code 3
[DEBUG] [2024-09-08 09:32:19,627]: RAW message sent: bytearray(b'$M<\x00\x05\x05')
[DEBUG] [2024-09-08 09:32:19,639]: State: 0 - byte received (at 1725751939.639447): 36
[DEBUG] [2024-09-08 09:32:19,640]: State: 1 - byte received (at 1725751939.639447): 77
[DEBUG] [2024-09-08 09:32:19,640]: State: 2 - byte received (at 1725751939.639447): 62
[DEBUG] [2024-09-08 09:32:19,641]: State: 3 - byte received (at 1725751939.639447): 26
[DEBUG] [2024-09-08 09:32:19,641]: State: 4 - byte received (at 1725751939.639447): 5
[DEBUG] [2024-09-08 09:32:19,642]: State: 7 - byte received (at 1725751939.639447): 78
[DEBUG] [2024-09-08 09:32:19,642]: State: 8 - byte received (at 1725751939.639447): 111
[DEBUG] [2024-09-08 09:32:19,643]: State: 8 - byte received (at 1725751939.639447): 118
[DEBUG] [2024-09-08 09:32:19,643]: State: 8 - byte received (at 1725751939.639447): 32
[DEBUG] [2024-09-08 09:32:19,644]: State: 8 - byte received (at 1725751939.639447): 49
[DEBUG] [2024-09-08 09:32:19,644]: State: 8 - byte received (at 1725751939.639447): 53
[DEBUG] [2024-09-08 09:32:19,644]: State: 8 - byte received (at 1725751939.639447): 32
[DEBUG] [2024-09-08 09:32:19,645]: State: 8 - byte received (at 1725751939.639447): 50
[DEBUG] [2024-09-08 09:32:19,645]: State: 8 - byte received (at 1725751939.639447): 48
[DEBUG] [2024-09-08 09:32:19,646]: State: 8 - byte received (at 1725751939.639447): 49
[DEBUG] [2024-09-08 09:32:19,646]: State: 8 - byte received (at 1725751939.639447): 57
[DEBUG] [2024-09-08 09:32:19,647]: State: 8 - byte received (at 1725751939.639447): 49
[DEBUG] [2024-09-08 09:32:19,647]: State: 8 - byte received (at 1725751939.639447): 50
[DEBUG] [2024-09-08 09:32:19,647]: State: 8 - byte received (at 1725751939.639447): 58
[DEBUG] [2024-09-08 09:32:19,647]: State: 8 - byte received (at 1725751939.639447): 52
[DEBUG] [2024-09-08 09:32:19,648]: State: 8 - byte received (at 1725751939.639447): 50
[DEBUG] [2024-09-08 09:32:19,648]: State: 8 - byte received (at 1725751939.639447): 58
[DEBUG] [2024-09-08 09:32:19,648]: State: 8 - byte received (at 1725751939.639447): 51
[DEBUG] [2024-09-08 09:32:19,648]: State: 8 - byte received (at 1725751939.639447): 52
[DEBUG] [2024-09-08 09:32:19,648]: State: 8 - byte received (at 1725751939.639447): 49
[DEBUG] [2024-09-08 09:32:19,648]: State: 8 - byte received (at 1725751939.639447): 101
[DEBUG] [2024-09-08 09:32:19,649]: State: 8 - byte received (at 1725751939.639447): 53
[DEBUG] [2024-09-08 09:32:19,649]: State: 8 - byte received (at 1725751939.639447): 101
[DEBUG] [2024-09-08 09:32:19,649]: State: 8 - byte received (at 1725751939.639447): 51
[DEBUG] [2024-09-08 09:32:19,649]: State: 8 - byte received (at 1725751939.639447): 100
[DEBUG] [2024-09-08 09:32:19,649]: State: 8 - byte received (at 1725751939.639447): 51
[DEBUG] [2024-09-08 09:32:19,649]: State: 9 - byte received (at 1725751939.639447): 36
[DEBUG] [2024-09-08 09:32:19,650]: Message received (length 26) - Code 5
[DEBUG] [2024-09-08 09:32:19,650]: RAW message sent: bytearray(b'$M<\x00\x04\x04')
[DEBUG] [2024-09-08 09:32:19,679]: State: 0 - byte received (at 1725751939.6793637): 36
[DEBUG] [2024-09-08 09:32:19,680]: State: 1 - byte received (at 1725751939.6793637): 77
[DEBUG] [2024-09-08 09:32:19,680]: State: 2 - byte received (at 1725751939.6793637): 62
[DEBUG] [2024-09-08 09:32:19,681]: State: 3 - byte received (at 1725751939.6793637): 67
[DEBUG] [2024-09-08 09:32:19,681]: State: 4 - byte received (at 1725751939.6793637): 4
[DEBUG] [2024-09-08 09:32:19,682]: State: 7 - byte received (at 1725751939.6793637): 79
[DEBUG] [2024-09-08 09:32:19,682]: State: 8 - byte received (at 1725751939.6793637): 66
[DEBUG] [2024-09-08 09:32:19,683]: State: 8 - byte received (at 1725751939.6793637): 83
[DEBUG] [2024-09-08 09:32:19,683]: State: 8 - byte received (at 1725751939.6793637): 68
[DEBUG] [2024-09-08 09:32:19,683]: State: 8 - byte received (at 1725751939.6793637): 0
[DEBUG] [2024-09-08 09:32:19,683]: State: 8 - byte received (at 1725751939.6793637): 0
[DEBUG] [2024-09-08 09:32:19,683]: State: 8 - byte received (at 1725751939.6793637): 2
[DEBUG] [2024-09-08 09:32:19,684]: State: 8 - byte received (at 1725751939.6793637): 3
[DEBUG] [2024-09-08 09:32:19,684]: State: 8 - byte received (at 1725751939.6793637): 11
[DEBUG] [2024-09-08 09:32:19,684]: State: 8 - byte received (at 1725751939.6793637): 79
[DEBUG] [2024-09-08 09:32:19,684]: State: 8 - byte received (at 1725751939.6793637): 77
[DEBUG] [2024-09-08 09:32:19,685]: State: 8 - byte received (at 1725751939.6793637): 78
[DEBUG] [2024-09-08 09:32:19,685]: State: 8 - byte received (at 1725751939.6793637): 73
[DEBUG] [2024-09-08 09:32:19,685]: State: 8 - byte received (at 1725751939.6793637): 66
[DEBUG] [2024-09-08 09:32:19,685]: State: 8 - byte received (at 1725751939.6793637): 85
[DEBUG] [2024-09-08 09:32:19,685]: State: 8 - byte received (at 1725751939.6793637): 83
[DEBUG] [2024-09-08 09:32:19,686]: State: 8 - byte received (at 1725751939.6793637): 70
[DEBUG] [2024-09-08 09:32:19,686]: State: 8 - byte received (at 1725751939.6793637): 52
[DEBUG] [2024-09-08 09:32:19,686]: State: 8 - byte received (at 1725751939.6793637): 83
[DEBUG] [2024-09-08 09:32:19,686]: State: 8 - byte received (at 1725751939.6793637): 68
[DEBUG] [2024-09-08 09:32:19,687]: State: 8 - byte received (at 1725751939.6793637): 11
[DEBUG] [2024-09-08 09:32:19,687]: State: 8 - byte received (at 1725751939.6793637): 79
[DEBUG] [2024-09-08 09:32:19,687]: State: 8 - byte received (at 1725751939.6793637): 77
[DEBUG] [2024-09-08 09:32:19,687]: State: 8 - byte received (at 1725751939.6793637): 78
[DEBUG] [2024-09-08 09:32:19,687]: State: 8 - byte received (at 1725751939.6793637): 73
[DEBUG] [2024-09-08 09:32:19,688]: State: 8 - byte received (at 1725751939.6793637): 66
[DEBUG] [2024-09-08 09:32:19,688]: State: 8 - byte received (at 1725751939.6793637): 85
[DEBUG] [2024-09-08 09:32:19,688]: State: 8 - byte received (at 1725751939.6793637): 83
[DEBUG] [2024-09-08 09:32:19,688]: State: 8 - byte received (at 1725751939.6793637): 70
[DEBUG] [2024-09-08 09:32:19,688]: State: 8 - byte received (at 1725751939.6793637): 52
[DEBUG] [2024-09-08 09:32:19,689]: State: 8 - byte received (at 1725751939.6793637): 83
[DEBUG] [2024-09-08 09:32:19,689]: State: 8 - byte received (at 1725751939.6793637): 68
[DEBUG] [2024-09-08 09:32:19,689]: State: 8 - byte received (at 1725751939.6793637): 0
[DEBUG] [2024-09-08 09:32:19,689]: State: 8 - byte received (at 1725751939.6793637): 0
[DEBUG] [2024-09-08 09:32:19,690]: State: 8 - byte received (at 1725751939.6793637): 0
[DEBUG] [2024-09-08 09:32:19,690]: State: 8 - byte received (at 1725751939.6793637): 0
[DEBUG] [2024-09-08 09:32:19,690]: State: 8 - byte received (at 1725751939.6793637): 0
[DEBUG] [2024-09-08 09:32:19,690]: State: 8 - byte received (at 1725751939.6793637): 0
[DEBUG] [2024-09-08 09:32:19,690]: State: 8 - byte received (at 1725751939.6793637): 0
[DEBUG] [2024-09-08 09:32:19,691]: State: 8 - byte received (at 1725751939.6793637): 0
[DEBUG] [2024-09-08 09:32:19,691]: State: 8 - byte received (at 1725751939.6793637): 0
[DEBUG] [2024-09-08 09:32:19,691]: State: 8 - byte received (at 1725751939.6793637): 0
[DEBUG] [2024-09-08 09:32:19,691]: State: 8 - byte received (at 1725751939.6793637): 0
[DEBUG] [2024-09-08 09:32:19,692]: State: 8 - byte received (at 1725751939.6793637): 0
[DEBUG] [2024-09-08 09:32:19,692]: State: 8 - byte received (at 1725751939.6793637): 0
[DEBUG] [2024-09-08 09:32:19,692]: State: 8 - byte received (at 1725751939.6793637): 0
[DEBUG] [2024-09-08 09:32:19,692]: State: 8 - byte received (at 1725751939.6793637): 0
[DEBUG] [2024-09-08 09:32:19,692]: State: 8 - byte received (at 1725751939.6793637): 0
[DEBUG] [2024-09-08 09:32:19,693]: State: 8 - byte received (at 1725751939.6793637): 0
[DEBUG] [2024-09-08 09:32:19,693]: State: 8 - byte received (at 1725751939.6793637): 0
[DEBUG] [2024-09-08 09:32:19,693]: State: 8 - byte received (at 1725751939.6793637): 0
[DEBUG] [2024-09-08 09:32:19,693]: State: 8 - byte received (at 1725751939.6793637): 0
[DEBUG] [2024-09-08 09:32:19,693]: State: 8 - byte received (at 1725751939.6793637): 0
[DEBUG] [2024-09-08 09:32:19,693]: State: 8 - byte received (at 1725751939.6793637): 0
[DEBUG] [2024-09-08 09:32:19,693]: State: 8 - byte received (at 1725751939.6793637): 0
[DEBUG] [2024-09-08 09:32:19,694]: State: 8 - byte received (at 1725751939.6793637): 0
[DEBUG] [2024-09-08 09:32:19,694]: State: 8 - byte received (at 1725751939.6793637): 0
[DEBUG] [2024-09-08 09:32:19,694]: State: 8 - byte received (at 1725751939.6793637): 0
[DEBUG] [2024-09-08 09:32:19,694]: State: 8 - byte received (at 1725751939.6793637): 0
[DEBUG] [2024-09-08 09:32:19,694]: State: 8 - byte received (at 1725751939.6793637): 0
[DEBUG] [2024-09-08 09:32:19,694]: State: 8 - byte received (at 1725751939.6793637): 0
[DEBUG] [2024-09-08 09:32:19,695]: State: 8 - byte received (at 1725751939.6793637): 0
[DEBUG] [2024-09-08 09:32:19,695]: State: 8 - byte received (at 1725751939.6793637): 0
[DEBUG] [2024-09-08 09:32:19,695]: State: 8 - byte received (at 1725751939.6793637): 0
[DEBUG] [2024-09-08 09:32:19,695]: State: 8 - byte received (at 1725751939.6793637): 0
[DEBUG] [2024-09-08 09:32:19,695]: State: 8 - byte received (at 1725751939.6793637): 3
[DEBUG] [2024-09-08 09:32:19,695]: State: 8 - byte received (at 1725751939.6793637): 2
[DEBUG] [2024-09-08 09:32:19,696]: State: 9 - byte received (at 1725751939.6793637): 93
[DEBUG] [2024-09-08 09:32:19,696]: Message received (length 67) - Code 4
[DEBUG] [2024-09-08 09:32:19,696]: RAW message sent: bytearray(b'$M<\x00\xa0\xa0')
[DEBUG] [2024-09-08 09:32:19,711]: State: 0 - byte received (at 1725751939.7110744): 36
[DEBUG] [2024-09-08 09:32:19,711]: State: 1 - byte received (at 1725751939.7110744): 77
[DEBUG] [2024-09-08 09:32:19,711]: State: 2 - byte received (at 1725751939.7110744): 62
[DEBUG] [2024-09-08 09:32:19,712]: State: 3 - byte received (at 1725751939.7110744): 12
[DEBUG] [2024-09-08 09:32:19,712]: State: 4 - byte received (at 1725751939.7110744): 160
[DEBUG] [2024-09-08 09:32:19,712]: State: 7 - byte received (at 1725751939.7110744): 49
[DEBUG] [2024-09-08 09:32:19,712]: State: 8 - byte received (at 1725751939.7110744): 0
[DEBUG] [2024-09-08 09:32:19,712]: State: 8 - byte received (at 1725751939.7110744): 26
[DEBUG] [2024-09-08 09:32:19,713]: State: 8 - byte received (at 1725751939.7110744): 0
[DEBUG] [2024-09-08 09:32:19,713]: State: 8 - byte received (at 1725751939.7110744): 8
[DEBUG] [2024-09-08 09:32:19,713]: State: 8 - byte received (at 1725751939.7110744): 71
[DEBUG] [2024-09-08 09:32:19,714]: State: 8 - byte received (at 1725751939.7110744): 50
[DEBUG] [2024-09-08 09:32:19,714]: State: 8 - byte received (at 1725751939.7110744): 50
[DEBUG] [2024-09-08 09:32:19,714]: State: 8 - byte received (at 1725751939.7110744): 56
[DEBUG] [2024-09-08 09:32:19,715]: State: 8 - byte received (at 1725751939.7110744): 54
[DEBUG] [2024-09-08 09:32:19,715]: State: 8 - byte received (at 1725751939.7110744): 53
[DEBUG] [2024-09-08 09:32:19,715]: State: 8 - byte received (at 1725751939.7110744): 51
[DEBUG] [2024-09-08 09:32:19,716]: State: 9 - byte received (at 1725751939.7110744): 192
[DEBUG] [2024-09-08 09:32:19,716]: Message received (length 12) - Code 160
[DEBUG] [2024-09-08 09:32:19,717]: RAW message sent: bytearray(b'$M<\x00\xf0\xf0')
[DEBUG] [2024-09-08 09:32:19,727]: State: 0 - byte received (at 1725751939.727084): 36
[DEBUG] [2024-09-08 09:32:19,727]: State: 1 - byte received (at 1725751939.727084): 77
[DEBUG] [2024-09-08 09:32:19,727]: State: 2 - byte received (at 1725751939.727084): 62
[DEBUG] [2024-09-08 09:32:19,728]: State: 3 - byte received (at 1725751939.727084): 4
[DEBUG] [2024-09-08 09:32:19,728]: State: 4 - byte received (at 1725751939.727084): 240
[DEBUG] [2024-09-08 09:32:19,728]: State: 7 - byte received (at 1725751939.727084): 0
[DEBUG] [2024-09-08 09:32:19,728]: State: 8 - byte received (at 1725751939.727084): 0
[DEBUG] [2024-09-08 09:32:19,729]: State: 8 - byte received (at 1725751939.727084): 0
[DEBUG] [2024-09-08 09:32:19,729]: State: 8 - byte received (at 1725751939.727084): 0
[DEBUG] [2024-09-08 09:32:19,729]: State: 9 - byte received (at 1725751939.727084): 244
[DEBUG] [2024-09-08 09:32:19,729]: Message received (length 4) - Code 240
[DEBUG] [2024-09-08 09:32:19,730]: RAW message sent: bytearray(b'$M<\x00\n\n')
[DEBUG] [2024-09-08 09:32:19,743]: State: 0 - byte received (at 1725751939.7431016): 36
[DEBUG] [2024-09-08 09:32:19,743]: State: 1 - byte received (at 1725751939.7431016): 77
[DEBUG] [2024-09-08 09:32:19,744]: State: 2 - byte received (at 1725751939.7431016): 62
[DEBUG] [2024-09-08 09:32:19,744]: State: 3 - byte received (at 1725751939.7431016): 0
[DEBUG] [2024-09-08 09:32:19,745]: State: 4 - byte received (at 1725751939.7431016): 10
[DEBUG] [2024-09-08 09:32:19,745]: State: 9 - byte received (at 1725751939.7431016): 10
[DEBUG] [2024-09-08 09:32:19,745]: Message received (length 0) - Code 10
[DEBUG] [2024-09-08 09:32:19,746]: RAW message sent: bytearray(b'$M<\x00ee')
[DEBUG] [2024-09-08 09:32:19,759]: State: 0 - byte received (at 1725751939.758986): 36
[DEBUG] [2024-09-08 09:32:19,759]: State: 1 - byte received (at 1725751939.758986): 77
[DEBUG] [2024-09-08 09:32:19,759]: State: 2 - byte received (at 1725751939.758986): 62
[DEBUG] [2024-09-08 09:32:19,759]: State: 3 - byte received (at 1725751939.758986): 22
[DEBUG] [2024-09-08 09:32:19,760]: State: 4 - byte received (at 1725751939.758986): 101
[DEBUG] [2024-09-08 09:32:19,760]: State: 7 - byte received (at 1725751939.758986): 125
[DEBUG] [2024-09-08 09:32:19,760]: State: 8 - byte received (at 1725751939.758986): 0
[DEBUG] [2024-09-08 09:32:19,761]: State: 8 - byte received (at 1725751939.758986): 0
[DEBUG] [2024-09-08 09:32:19,761]: State: 8 - byte received (at 1725751939.758986): 0
[DEBUG] [2024-09-08 09:32:19,761]: State: 8 - byte received (at 1725751939.758986): 35
[DEBUG] [2024-09-08 09:32:19,762]: State: 8 - byte received (at 1725751939.758986): 0
[DEBUG] [2024-09-08 09:32:19,762]: State: 8 - byte received (at 1725751939.758986): 0
[DEBUG] [2024-09-08 09:32:19,762]: State: 8 - byte received (at 1725751939.758986): 0
[DEBUG] [2024-09-08 09:32:19,763]: State: 8 - byte received (at 1725751939.758986): 0
[DEBUG] [2024-09-08 09:32:19,763]: State: 8 - byte received (at 1725751939.758986): 0
[DEBUG] [2024-09-08 09:32:19,763]: State: 8 - byte received (at 1725751939.758986): 0
[DEBUG] [2024-09-08 09:32:19,764]: State: 8 - byte received (at 1725751939.758986): 9
[DEBUG] [2024-09-08 09:32:19,764]: State: 8 - byte received (at 1725751939.758986): 0
[DEBUG] [2024-09-08 09:32:19,764]: State: 8 - byte received (at 1725751939.758986): 0
[DEBUG] [2024-09-08 09:32:19,764]: State: 8 - byte received (at 1725751939.758986): 0
[DEBUG] [2024-09-08 09:32:19,765]: State: 8 - byte received (at 1725751939.758986): 0
[DEBUG] [2024-09-08 09:32:19,765]: State: 8 - byte received (at 1725751939.758986): 24
[DEBUG] [2024-09-08 09:32:19,765]: State: 8 - byte received (at 1725751939.758986): 4
[DEBUG] [2024-09-08 09:32:19,766]: State: 8 - byte received (at 1725751939.758986): 1
[DEBUG] [2024-09-08 09:32:19,766]: State: 8 - byte received (at 1725751939.758986): 0
[DEBUG] [2024-09-08 09:32:19,766]: State: 8 - byte received (at 1725751939.758986): 0
[DEBUG] [2024-09-08 09:32:19,767]: State: 8 - byte received (at 1725751939.758986): 0
[DEBUG] [2024-09-08 09:32:19,767]: State: 9 - byte received (at 1725751939.758986): 57
[DEBUG] [2024-09-08 09:32:19,767]: Message received (length 22) - Code 101
[DEBUG] [2024-09-08 09:32:19,768]: RAW message sent: bytearray(b'$M<\x00\x96\x96')
[DEBUG] [2024-09-08 09:32:19,791]: State: 0 - byte received (at 1725751939.7909083): 36
[DEBUG] [2024-09-08 09:32:19,791]: State: 1 - byte received (at 1725751939.7909083): 77
[DEBUG] [2024-09-08 09:32:19,791]: State: 2 - byte received (at 1725751939.7909083): 62
[DEBUG] [2024-09-08 09:32:19,792]: State: 3 - byte received (at 1725751939.7909083): 22
[DEBUG] [2024-09-08 09:32:19,792]: State: 4 - byte received (at 1725751939.7909083): 150
[DEBUG] [2024-09-08 09:32:19,793]: State: 7 - byte received (at 1725751939.7909083): 125
[DEBUG] [2024-09-08 09:32:19,793]: State: 8 - byte received (at 1725751939.7909083): 0
